OBJECTID,LAND,BEZ,LOR,STRASSE,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
208192,11,2,2050803,Stralauer Kiez,2500835,2018,12,11,3,3,2,1,0,0,1,0,0,0,0,0,803103,9651,5826090,475
208193,11,1,1044102,Schillerpark,1400940,2018,12,9,3,3,6,7,0,0,1,1,0,0,0,0,795040,3787,5832022,208
208194,11,1,1011302,Oranienburger Stra�e                                                                                ,1100309,2018,12,6,7,3,2,6,2,0,1,0,0,0,0,0,798477,4389,5829091,235
208195,11,1,1011203,Unter den Linden S�d,1100206,2018,12,9,3,3,6,4,0,1,0,1,0,0,0,1,798024,339,5827468,758
208196,11,8,8020619,Buschkrugallee Nord,8200622,2018,12,11,7,3,1,5,0,0,1,0,0,0,1,0,801238,2795,5821618,83
208197,11,8,8010117,Schillerpromenade,8100102,2018,12,8,3,3,2,6,1,0,1,0,0,0,0,1,800595,862,5823211,419
208198,11,6,6040810,Dahlem,6400844,2018,12,2,7,2,9,1,2,0,1,0,0,0,0,1,791161,2922,5820104,151
208199,11,3,3030711,Blankenburg,3300514,2018,12,5,3,3,4,6,2,0,1,0,0,0,0,1,800895,3675,5836016,289
208200,11,10,10020622,Kaulsdorf Nord I                                                                                    ,10200629,2018,12,2,7,3,0,6,2,0,1,0,0,0,1,1,811097,142,5829165,698
208201,11,11,11051229,Rummelsburg,11501238,2018,12,8,3,3,5,2,0,1,1,0,0,0,0,1,803347,724,5826306,75
208202,11,3,3030715,Heinersdorf,3300516,2018,12,7,6,3,6,4,2,1,0,1,0,0,0,1,801542,981,5833537,516
208203,11,12,12214125,Waldidyll/Flughafensee,12200412,2018,12,19,6,3,6,7,2,0,1,1,0,0,0,1,791017,6935,5833857,989
208204,11,5,5040934,Alt-Gatow,5400942,2018,12,8,3,3,6,7,0,1,0,1,0,0,0,0,783944,3793,5823358,478
208205,11,6,6020410,Oberhofer Platz,6200422,2018,12,16,6,3,5,2,2,1,1,0,0,0,0,1,794440,4191,5817642,747
208206,11,12,12301205,Waidmannslust,12500928,2018,12,7,3,3,5,3,0,1,1,0,0,0,0,1,792107,5419,5836833,18
208207,11,2,2030302,Lausitzer Platz,2300315,2018,12,18,6,3,5,3,2,1,1,0,0,0,0,1,800678,7942,5825793,11
208208,11,1,1033203,Humboldthain Nordwest                                                                               ,1300836,2018,12,18,6,3,5,3,2,0,1,0,0,0,0,1,796689,3146,5830139,695
208209,11,6,6020409,K�nigsberger Stra�e                                                                                 ,6200421,2018,12,6,3,2,6,2,2,0,1,1,0,0,0,1,793302,679,5816962,674
208210,11,1,1033202,Humboldthain S�d,1300835,2018,12,17,6,3,3,6,2,1,1,0,0,0,0,1,796984,185,5830162,442
208211,11,4,4030726,Droysenstra�e,4500936,2018,12,18,6,3,3,6,2,1,1,0,0,0,0,1,792149,2668,5825308,942
208212,11,3,3040818,Pankow S�d                                                                                          ,3400830,2018,12,6,3,3,5,3,2,1,1,0,0,0,0,0,800034,51,5833421,877
208213,11,7,7070706,Horstwalder Stra�e/Paplitzer Stra�e                                                                 ,7601547,2018,12,16,6,3,6,2,1,0,1,1,0,0,0,0,800286,6114,5812789,483
208214,11,10,10030727,Biesdorf S�d                                                                                        ,10300734,2018,12,8,3,3,5,3,0,1,1,0,0,0,0,0,809470,1701,5825897,147
208215,11,1,1011203,Unter den Linden S�d,1100206,2018,12,20,6,3,5,2,2,1,1,0,0,0,0,1,797904,2733,5827374,799
208216,11,1,1022103,Westhafen,1200517,2018,12,12,2,3,2,6,0,0,1,0,0,0,0,1,794926,3125,5829538,241
208217,11,1,1044202,Sparrplatz,1401047,2018,12,19,6,3,6,4,2,1,0,1,0,0,0,1,795602,672,5830512,464
208218,11,1,1011302,Oranienburger Stra�e                                                                                ,1100309,2018,12,19,6,3,6,2,2,0,1,1,0,0,0,1,798692,4374,5828663,615
208219,11,1,1033102,Gesundbrunnen,1300733,2018,12,12,2,3,5,2,0,1,0,0,0,1,0,1,797012,5249,5831490,286
208220,11,9,9020701,Adlershof West,9200715,2018,12,16,6,3,5,3,1,1,1,0,0,0,0,1,808200,8531,5818698,676
208221,11,2,2050802,Boxhagener Platz,2500833,2018,12,17,6,3,5,2,2,1,1,0,0,0,0,1,802065,394,5827160,95
208222,11,8,8010211,Flughafenstra�e,8100206,2018,12,11,2,2,6,2,0,0,1,1,0,0,0,1,800861,1478,5823837,515
208223,11,6,6020303,Lankwitz Kirche                                                                                     ,6200313,2018,12,17,6,2,6,2,2,0,0,1,0,0,1,1,795728,1665,5818897,262
208224,11,11,11041128,Sewanstra�e,11401135,2018,12,10,2,3,5,3,0,0,1,0,0,0,0,1,805968,2391,5825368,893
208225,11,12,12214527,Alt-Tegel,12200515,2018,12,17,6,3,6,6,2,0,1,1,0,0,0,1,790431,4803,5835179,448
208226,11,1,1022206,L�neburger Stra�e                                                                                   ,1200628,2018,12,9,2,3,3,6,0,0,1,0,0,1,0,1,796288,2843,5828546,997
208227,11,11,11030721,R�digerstra�e,11300725,2018,12,17,6,3,0,2,2,0,1,1,0,0,0,1,805170,3688,5827712,746
208228,11,4,4030828,Savignyplatz,4300624,2018,12,8,2,2,6,2,0,0,1,1,0,0,0,1,793343,9776,5826090,384
208229,11,4,4030827,Karl-August-Platz,4300623,2018,12,19,6,2,6,4,2,0,0,1,0,0,1,1,792273,6429,5825960,876
208230,11,6,6030609,Augustaplatz,6300633,2018,12,10,2,2,5,3,0,0,1,0,0,0,1,1,792688,5585,5818460,403
