OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
192113,11,8,8010214,Glasower Stra�e,2019,2,13,5,3,5,3,0,0,1,0,0,0,0,0,801745,7336,5822047,728
192114,11,5,5030730,Zitadellenweg,2019,2,15,5,3,5,7,0,0,1,0,0,0,1,1,786593,9044,5829226,911
192115,11,7,7040403,Manteuffelstra�e,2019,2,14,5,3,5,2,0,1,1,0,0,0,0,0,797341,3815,5821933,796
192116,11,7,7040401,Neu-Tempelhof,2019,2,17,5,3,3,6,2,0,1,0,0,0,0,0,797289,667,5822620,407
192117,11,3,3061430,Volkspark Prenzlauer Berg,2019,2,18,5,3,2,2,2,0,1,0,0,0,0,0,802329,1795,5829223,933
192118,11,10,10040828,Kaulsdorf Nord,2019,2,20,5,3,5,3,2,0,1,0,0,0,0,0,811909,1725,5829754,726
192119,11,9,9010302,Sp�thsfelde,2019,2,16,4,3,2,6,0,0,1,0,0,0,1,0,804101,273,5821293,669
192120,11,7,7040403,Manteuffelstra�e,2019,2,20,5,3,2,6,2,0,1,0,0,0,0,0,797339,144,5822107,621
192121,11,5,5030730,Zitadellenweg,2019,2,21,5,3,2,6,2,0,1,0,0,1,0,0,786541,4462,5830619,418
192122,11,9,9010301,Baumschulenstra�e,2019,2,21,5,3,5,3,2,0,1,0,0,0,0,0,804876,3339,5822498,924
192123,11,4,4030519,Kaiserin-Augusta-Allee,2019,2,16,4,2,5,7,0,0,1,0,1,0,0,0,792138,7939,5828235,945
192124,11,4,5030833,Motardstra�e,2019,2,18,5,2,2,6,1,0,1,0,1,0,0,1,790376,9423,5829034,24
192125,11,1,1033102,Gesundbrunnen,2019,2,23,5,3,5,2,2,0,1,0,0,0,0,0,796995,2532,5831483,726
192126,11,6,6020306,Lankwitz S�d,2019,2,16,5,3,5,3,0,0,1,0,0,0,0,1,795906,3666,5816503,838
192127,11,5,5020627,Tiefwerder,2019,2,11,5,3,2,6,0,0,1,0,0,0,0,0,785096,5817,5828384,185
192128,11,1,1011305,Heine-Viertel West,2019,2,14,6,3,2,6,0,1,1,0,0,0,0,0,799439,2414,5826517,549
192129,11,11,11010102,Dorf Wartenberg,2019,2,17,5,3,0,7,2,0,0,0,0,1,0,1,804836,9525,5834757,777
192130,11,8,8030831,Gropiusstadt Ost,2019,2,20,5,3,6,7,2,0,1,1,0,0,0,0,804466,7151,5817327,581
192131,11,1,1011303,Alexanderplatzviertel,2019,2,16,4,3,0,4,1,0,0,1,0,0,1,1,798708,3547,5828099,497
192132,11,12,12214424,Scharnweberstra�e,2019,2,11,4,3,2,6,0,0,1,0,0,0,0,0,793253,4511,5832493,85
192133,11,12,12214421,Reinickes Hof,2019,2,10,4,3,2,6,0,0,1,0,0,0,0,0,793399,883,5833874,861
192134,11,8,8020728,Buckow Ost,2019,2,16,4,2,5,2,0,0,1,0,1,0,0,0,801904,5254,5817559,85
192135,11,3,3030406,Alt-Karow,2019,2,12,4,3,5,3,0,0,1,0,0,0,0,1,802871,6113,5838289,472
192136,11,2,2040701,Andreasviertel,2019,2,22,4,3,6,4,2,1,0,1,0,0,0,0,800559,2991,5826963,51
192137,11,3,3050920,Wei�er See,2019,2,15,4,3,2,2,0,0,1,0,0,0,0,0,802826,5142,5832019,742
192138,11,12,12302107,Schorfheidestra�e,2019,2,15,4,3,6,7,0,0,1,1,0,0,0,0,794932,9682,5836130,942
192139,11,6,6030605,Botanischer Garten,2019,2,16,5,3,5,3,0,0,1,0,0,0,0,0,792041,9339,5819964,413
192140,11,11,11020515,Landsberger Allee,2019,2,15,4,2,5,3,0,1,1,0,0,0,0,0,805027,2157,5830385,34
192141,11,10,10020413,Gut Hellersdorf,2019,2,14,4,3,5,3,0,0,1,0,0,0,0,0,811303,3594,5831186,992
192142,11,5,5030731,Gartenfelder Stra�e,2019,2,12,4,3,1,5,0,0,1,0,0,1,0,0,787525,192,5829440,68
192143,11,1,1022103,Westhafen,2019,2,13,6,3,2,2,0,0,1,0,0,0,1,0,794657,2987,5829475,99
192144,11,3,3030715,Heinersdorf,2019,2,14,4,3,2,7,0,0,1,0,0,0,0,0,800604,8596,5833192,1
192145,11,1,1044101,Rehberge,2019,2,14,4,2,5,2,0,0,1,0,0,0,0,0,794526,517,5831568,974
